I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.042,-0.137,-0.179,,,,,,,,,
0.047,-0.199,-0.247,,,,,,,,,
0.053,-0.177,-0.231,,,,,,,,,
0.042,-0.165,-0.207,,,,,,,,,
0.012,-0.114,-0.126,,,,,,,,,
-0.025,-0.093,-0.068,,,,,,,,,
-0.023,-0.039,-0.015,,,,,,,,,
-0.054,-0.04,0.013,,,,,,,,,
-0.036,-0.009,0.026,,,,,,,,,
-0.075,-0.007,0.066,,,,,,,,,
-0.048,0.011,0.06,,,,,,,,,
-0.023,0.048,0.07,,,,,,,,,
-0.069,0.102,0.172,,,,,,,,,
-0.089,0.086,0.176,,,,,,,,,
-0.105,0.102,0.207,,,,,,,,,
-0.101,0.088,0.19,,,,,,,,,
-0.091,0.1,0.191,,,,,,,,,
-0.073,0.1,0.174,,,,,,,,,
-0.059,0.127,0.187,,,,,,,,,
-0.072,0.097,0.169,,,,,,,,,
-0.051,0.102,0.153,,,,,,,,,
-0.054,0.072,0.126,,,,,,,,,
-0.032,0.092,0.124,,,,,,,,,
-0.028,0.12,0.149,,,,,,,,,
0.0,0.151,0.152,,,,,,,,,
-0.003,0.15,0.154,,,,,,,,,
0.017,0.164,0.147,,,,,,,,,
0.017,0.155,0.137,,,,,,,,,
0.002,0.164,0.162,,,,,,,,,
-0.012,0.155,0.167,,,,,,,,,
0.022,0.168,0.146,,,,,,,,,
-0.001,0.16,0.162,,,,,,,,,
-0.035,0.169,0.204,,,,,,,,,
-0.033,0.16,0.193,,,,,,,,,
-0.021,0.169,0.191,,,,,,,,,
-0.014,0.16,0.174,,,,,,,,,
-0.044,0.169,0.213,,,,,,,,,
-0.081,0.159,0.241,,,,,,,,,
-0.044,0.176,0.221,,,,,,,,,
-0.044,0.176,0.221,,,,,,,,,
-0.013,0.197,0.21,,,,,,,,,
0.019,0.231,0.212,,,,,,,,,
0.024,0.23,0.206,,,,,,,,,
0.021,0.228,0.207,,,,,,,,,
0.027,0.231,0.203,,,,,,,,,
-0.023,0.229,0.252,,,,,,,,,
-0.037,0.23,0.266,,,,,,,,,
-0.028,0.235,0.264,,,,,,,,,
-0.006,0.259,0.265,,,,,,,,,
-0.013,0.25,0.264,,,,,,,,,
-0.006,0.258,0.265,,,,,,,,,
-0.012,0.252,0.265,,,,,,,,,
-0.015,0.284,0.299,,,,,,,,,
-0.01,0.276,0.286,,,,,,,,,
0.006,0.278,0.272,,,,,,,,,
0.016,0.266,0.25,,,,,,,,,
0.012,0.285,0.273,,,,,,,,,
-0.021,0.299,0.322,,,,,,,,,
-0.001,0.318,0.319,,,,,,,,,
0.014,0.337,0.322,,,,,,,,,
0.021,0.361,0.339,,,,,,,,,
0.025,0.365,0.339,,,,,,,,,
0.033,0.351,0.317,,,,,,,,,
0.038,0.35,0.311,,,,,,,,,
0.051,0.342,0.29,,,,,,,,,
0.02,0.335,0.315,,,,,,,,,
0.014,0.328,0.313,,,,,,,,,
0.009,0.321,0.311,,,,,,,,,
0.0,0.306,0.305,,,,,,,,,
0.0,0.297,0.297,,,,,,,,,
0.025,0.282,0.256,,,,,,,,,
0.035,0.277,0.241,,,,,,,,,
0.038,0.259,0.22,,,,,,,,,
0.065,0.274,0.209,,,,,,,,,
0.045,0.237,0.192,,,,,,,,,
-0.032,0.208,0.241,,,,,,,,,
-0.016,0.194,0.21,,,,,,,,,
0.011,0.177,0.165,,,,,,,,,
0.021,0.154,0.133,,,,,,,,,
0.013,0.138,0.124,,,,,,,,,
0.012,0.114,0.101,,,,,,,,,
0.005,0.101,0.095,,,,,,,,,
-0.028,0.116,0.145,,,,,,,,,
-0.021,0.11,0.132,,,,,,,,,
-0.007,0.087,0.094,,,,,,,,,
-0.009,0.079,0.088,,,,,,,,,
-0.015,0.063,0.079,,,,,,,,,
-0.012,0.068,0.081,,,,,,,,,
-0.009,0.061,0.071,,,,,,,,,
-0.006,0.067,0.073,,,,,,,,,
-0.008,0.054,0.062,,,,,,,,,
0.0,0.065,0.065,,,,,,,,,
-0.003,0.051,0.054,,,,,,,,,
-0.016,0.041,0.057,,,,,,,,,
-0.032,0.014,0.046,,,,,,,,,
-0.05,0.003,0.053,,,,,,,,,
-0.053,-0.009,0.043,,,,,,,,,
-0.019,0.028,0.047,,,,,,,,,
-0.016,0.025,0.041,,,,,,,,,
-0.008,0.038,0.046,,,,,,,,,
0.006,0.041,0.035,,,,,,,,,
0.005,0.049,0.044,,,,,,,,,
0.008,0.039,0.03,,,,,,,,,
0.01,0.05,0.039,,,,,,,,,
0.009,0.038,0.029,,,,,,,,,
-0.01,0.051,0.062,,,,,,,,,
-0.019,0.037,0.057,,,,,,,,,
-0.034,0.052,0.087,,,,,,,,,
-0.025,0.037,0.062,,,,,,,,,
-0.002,0.053,0.055,,,,,,,,,
0.001,0.036,0.035,,,,,,,,,
0.018,0.053,0.035,,,,,,,,,
0.002,0.035,0.033,,,,,,,,,
-0.065,0.053,0.118,,,,,,,,,
-0.086,0.016,0.102,,,,,,,,,
-0.074,0.02,0.094,,,,,,,,,
