I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.036,-0.096,-0.059,,,,,,,,,
-0.021,-0.126,-0.104,,,,,,,,,
-0.027,-0.116,-0.089,,,,,,,,,
-0.022,-0.121,-0.098,,,,,,,,,
-0.026,-0.118,-0.091,,,,,,,,,
-0.023,-0.12,-0.097,,,,,,,,,
-0.027,-0.12,-0.092,,,,,,,,,
-0.021,-0.118,-0.096,,,,,,,,,
-0.043,-0.136,-0.093,,,,,,,,,
-0.051,-0.147,-0.096,,,,,,,,,
-0.049,-0.143,-0.093,,,,,,,,,
-0.049,-0.146,-0.096,,,,,,,,,
-0.05,-0.143,-0.093,,,,,,,,,
-0.049,-0.145,-0.096,,,,,,,,,
-0.05,-0.144,-0.093,,,,,,,,,
-0.053,-0.145,-0.091,,,,,,,,,
-0.064,-0.144,-0.08,,,,,,,,,
-0.07,-0.145,-0.075,,,,,,,,,
-0.097,-0.166,-0.069,,,,,,,,,
-0.062,-0.172,-0.109,,,,,,,,,
-0.051,-0.168,-0.116,,,,,,,,,
-0.056,-0.171,-0.115,,,,,,,,,
-0.059,-0.169,-0.11,,,,,,,,,
-0.056,-0.167,-0.11,,,,,,,,,
-0.056,-0.163,-0.107,,,,,,,,,
-0.06,-0.165,-0.105,,,,,,,,,
-0.059,-0.164,-0.104,,,,,,,,,
-0.063,-0.164,-0.101,,,,,,,,,
-0.059,-0.158,-0.098,,,,,,,,,
-0.065,-0.161,-0.095,,,,,,,,,
-0.064,-0.158,-0.094,,,,,,,,,
-0.068,-0.161,-0.092,,,,,,,,,
-0.07,-0.158,-0.088,,,,,,,,,
-0.066,-0.161,-0.094,,,,,,,,,
-0.036,-0.158,-0.122,,,,,,,,,
-0.041,-0.161,-0.119,,,,,,,,,
-0.038,-0.158,-0.119,,,,,,,,,
-0.042,-0.162,-0.12,,,,,,,,,
-0.036,-0.156,-0.119,,,,,,,,,
-0.048,-0.168,-0.12,,,,,,,,,
-0.063,-0.183,-0.12,,,,,,,,,
