I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.119,0.0,0.12,,,,,,,,,
-0.142,-0.001,0.14,,,,,,,,,
-0.121,0.0,0.121,,,,,,,,,
-0.107,0.001,0.108,,,,,,,,,
-0.118,0.0,0.118,,,,,,,,,
-0.128,0.0,0.128,,,,,,,,,
-0.121,0.0,0.121,,,,,,,,,
-0.113,0.0,0.113,,,,,,,,,
-0.118,0.0,0.118,,,,,,,,,
-0.125,0.0,0.124,,,,,,,,,
-0.122,0.0,0.121,,,,,,,,,
-0.114,0.001,0.115,,,,,,,,,
-0.114,0.003,0.118,,,,,,,,,
-0.119,0.005,0.124,,,,,,,,,
-0.117,0.007,0.124,,,,,,,,,
-0.112,0.009,0.121,,,,,,,,,
-0.111,0.012,0.122,,,,,,,,,
-0.112,0.016,0.127,,,,,,,,,
-0.107,0.019,0.127,,,,,,,,,
-0.1,0.022,0.122,,,,,,,,,
-0.101,0.024,0.125,,,,,,,,,
-0.109,0.025,0.135,,,,,,,,,
-0.112,0.027,0.139,,,,,,,,,
-0.099,0.03,0.128,,,,,,,,,
-0.075,0.033,0.108,,,,,,,,,
-0.057,0.037,0.094,,,,,,,,,
-0.056,0.041,0.097,,,,,,,,,
-0.073,0.043,0.117,,,,,,,,,
-0.098,0.045,0.143,,,,,,,,,
-0.112,0.046,0.158,,,,,,,,,
-0.106,0.048,0.154,,,,,,,,,
-0.091,0.05,0.141,,,,,,,,,
-0.081,0.054,0.136,,,,,,,,,
-0.084,0.058,0.143,,,,,,,,,
-0.094,0.06,0.155,,,,,,,,,
-0.104,0.062,0.166,,,,,,,,,
-0.106,0.065,0.172,,,,,,,,,
-0.101,0.071,0.172,,,,,,,,,
-0.087,0.077,0.166,,,,,,,,,
-0.074,0.081,0.156,,,,,,,,,
-0.067,0.081,0.15,,,,,,,,,
-0.064,0.085,0.15,,,,,,,,,
-0.056,0.092,0.148,,,,,,,,,
-0.037,0.103,0.14,,,,,,,,,
-0.012,0.114,0.127,,,,,,,,,
0.005,0.124,0.12,,,,,,,,,
0.003,0.129,0.126,,,,,,,,,
-0.018,0.129,0.147,,,,,,,,,
-0.049,0.127,0.176,,,,,,,,,
-0.065,0.132,0.197,,,,,,,,,
-0.054,0.143,0.197,,,,,,,,,
-0.03,0.153,0.183,,,,,,,,,
-0.017,0.154,0.172,,,,,,,,,
-0.023,0.146,0.17,,,,,,,,,
-0.032,0.138,0.17,,,,,,,,,
-0.03,0.133,0.164,,,,,,,,,
-0.023,0.131,0.155,,,,,,,,,
-0.023,0.126,0.151,,,,,,,,,
-0.029,0.119,0.15,,,,,,,,,
-0.03,0.114,0.145,,,,,,,,,
-0.026,0.111,0.137,,,,,,,,,
-0.023,0.107,0.131,,,,,,,,,
-0.027,0.102,0.129,,,,,,,,,
-0.03,0.096,0.126,,,,,,,,,
-0.028,0.09,0.119,,,,,,,,,
-0.024,0.086,0.111,,,,,,,,,
-0.026,0.082,0.109,,,,,,,,,
-0.038,0.077,0.116,,,,,,,,,
-0.058,0.072,0.13,,,,,,,,,
-0.079,0.066,0.146,,,,,,,,,
-0.09,0.061,0.152,,,,,,,,,
-0.087,0.057,0.145,,,,,,,,,
-0.077,0.054,0.131,,,,,,,,,
-0.073,0.05,0.123,,,,,,,,,
-0.075,0.046,0.121,,,,,,,,,
-0.076,0.042,0.118,,,,,,,,,
-0.072,0.038,0.11,,,,,,,,,
-0.067,0.034,0.102,,,,,,,,,
-0.067,0.03,0.097,,,,,,,,,
-0.066,0.026,0.093,,,,,,,,,
-0.064,0.022,0.087,,,,,,,,,
-0.064,0.019,0.084,,,,,,,,,
-0.07,0.015,0.084,,,,,,,,,
-0.076,0.009,0.086,,,,,,,,,
-0.081,0.003,0.085,,,,,,,,,
-0.085,-0.002,0.083,,,,,,,,,
-0.091,-0.006,0.084,,,,,,,,,
-0.096,-0.009,0.086,,,,,,,,,
-0.097,-0.012,0.085,,,,,,,,,
-0.099,-0.016,0.083,,,,,,,,,
-0.106,-0.021,0.084,,,,,,,,,
-0.114,-0.027,0.086,,,,,,,,,
-0.119,-0.033,0.085,,,,,,,,,
-0.12,-0.038,0.082,,,,,,,,,
-0.122,-0.041,0.08,,,,,,,,,
-0.126,-0.045,0.081,,,,,,,,,
-0.13,-0.049,0.08,,,,,,,,,
-0.132,-0.053,0.079,,,,,,,,,
-0.136,-0.057,0.079,,,,,,,,,
-0.139,-0.059,0.08,,,,,,,,,
-0.14,-0.059,0.08,,,,,,,,,
-0.139,-0.06,0.079,,,,,,,,,
-0.139,-0.059,0.079,,,,,,,,,
-0.14,-0.06,0.08,,,,,,,,,
-0.14,-0.06,0.08,,,,,,,,,
-0.139,-0.059,0.079,,,,,,,,,
-0.139,-0.059,0.079,,,,,,,,,
-0.14,-0.059,0.081,,,,,,,,,
-0.14,-0.06,0.08,,,,,,,,,
-0.139,-0.062,0.076,,,,,,,,,
-0.139,-0.064,0.074,,,,,,,,,
-0.14,-0.065,0.075,,,,,,,,,
-0.14,-0.064,0.076,,,,,,,,,
-0.139,-0.065,0.074,,,,,,,,,
-0.139,-0.065,0.073,,,,,,,,,
-0.14,-0.064,0.075,,,,,,,,,
-0.14,-0.064,0.076,,,,,,,,,
-0.139,-0.065,0.074,,,,,,,,,
-0.139,-0.065,0.073,,,,,,,,,
-0.14,-0.064,0.075,,,,,,,,,
-0.141,-0.064,0.076,,,,,,,,,
-0.139,-0.066,0.073,,,,,,,,,
-0.138,-0.068,0.07,,,,,,,,,
-0.139,-0.069,0.069,,,,,,,,,
-0.141,-0.07,0.07,,,,,,,,,
-0.14,-0.07,0.07,,,,,,,,,
-0.138,-0.069,0.068,,,,,,,,,
-0.139,-0.07,0.069,,,,,,,,,
-0.141,-0.069,0.071,,,,,,,,,
-0.14,-0.069,0.07,,,,,,,,,
-0.138,-0.07,0.068,,,,,,,,,
-0.139,-0.07,0.069,,,,,,,,,
-0.141,-0.069,0.071,,,,,,,,,
-0.14,-0.069,0.07,,,,,,,,,
-0.138,-0.071,0.067,,,,,,,,,
-0.14,-0.073,0.066,,,,,,,,,
-0.147,-0.074,0.072,,,,,,,,,
-0.155,-0.075,0.08,,,,,,,,,
-0.161,-0.074,0.086,,,,,,,,,
-0.164,-0.074,0.089,,,,,,,,,
-0.163,-0.075,0.089,,,,,,,,,
-0.16,-0.075,0.085,,,,,,,,,
-0.158,-0.074,0.082,,,,,,,,,
-0.159,-0.074,0.083,,,,,,,,,
-0.16,-0.074,0.085,,,,,,,,,
-0.157,-0.074,0.083,,,,,,,,,
-0.153,-0.075,0.079,,,,,,,,,
-0.155,-0.076,0.078,,,,,,,,,
-0.159,-0.078,0.08,,,,,,,,,
-0.16,-0.08,0.08,,,,,,,,,
-0.156,-0.081,0.076,,,,,,,,,
-0.153,-0.08,0.073,,,,,,,,,
-0.155,-0.079,0.075,,,,,,,,,
-0.157,-0.079,0.077,,,,,,,,,
-0.153,-0.08,0.073,,,,,,,,,
-0.145,-0.08,0.065,,,,,,,,,
-0.138,-0.079,0.057,,,,,,,,,
-0.131,-0.079,0.051,,,,,,,,,
-0.123,-0.079,0.043,,,,,,,,,
-0.117,-0.079,0.037,,,,,,,,,
-0.115,-0.082,0.033,,,,,,,,,
-0.113,-0.084,0.029,,,,,,,,,
-0.106,-0.083,0.022,,,,,,,,,
-0.098,-0.082,0.015,,,,,,,,,
-0.095,-0.084,0.009,,,,,,,,,
-0.093,-0.093,0.0,,,,,,,,,
-0.083,-0.102,-0.018,,,,,,,,,
-0.062,-0.104,-0.042,,,,,,,,,
-0.037,-0.096,-0.059,,,,,,,,,
-0.019,-0.085,-0.066,,,,,,,,,
-0.015,-0.078,-0.063,,,,,,,,,
-0.025,-0.074,-0.048,,,,,,,,,
-0.044,-0.067,-0.023,,,,,,,,,
-0.06,-0.058,0.001,,,,,,,,,
-0.062,-0.051,0.01,,,,,,,,,
-0.048,-0.046,0.001,,,,,,,,,
-0.031,-0.042,-0.011,,,,,,,,,
-0.02,-0.032,-0.012,,,,,,,,,
-0.016,-0.016,0.0,,,,,,,,,
-0.007,0.008,0.015,,,,,,,,,
0.01,0.042,0.032,,,,,,,,,
0.037,0.085,0.048,,,,,,,,,
0.069,0.132,0.062,,,,,,,,,
0.098,0.182,0.084,,,,,,,,,
0.108,0.233,0.125,,,,,,,,,
0.096,0.286,0.19,,,,,,,,,
0.076,0.345,0.268,,,,,,,,,
0.071,0.415,0.344,,,,,,,,,
0.087,0.5,0.412,,,,,,,,,
0.112,0.588,0.476,,,,,,,,,
0.125,0.666,0.541,,,,,,,,,
0.12,0.73,0.61,,,,,,,,,
0.104,0.796,0.692,,,,,,,,,
0.088,0.874,0.785,,,,,,,,,
0.081,0.948,0.867,,,,,,,,,
0.079,0.991,0.911,,,,,,,,,
0.075,0.986,0.91,,,,,,,,,
0.055,0.942,0.887,,,,,,,,,
0.011,0.878,0.867,,,,,,,,,
-0.049,0.808,0.859,,,,,,,,,
-0.116,0.737,0.856,,,,,,,,,
-0.179,0.666,0.847,,,,,,,,,
-0.234,0.585,0.82,,,,,,,,,
-0.28,0.481,0.761,,,,,,,,,
-0.317,0.356,0.673,,,,,,,,,
-0.35,0.23,0.58,,,,,,,,,
-0.375,0.124,0.5,,,,,,,,,
-0.39,0.042,0.433,,,,,,,,,
-0.394,-0.03,0.364,,,,,,,,,
-0.396,-0.104,0.291,,,,,,,,,
-0.409,-0.178,0.23,,,,,,,,,
-0.44,-0.248,0.192,,,,,,,,,
-0.486,-0.317,0.168,,,,,,,,,
-0.532,-0.384,0.147,,,,,,,,,
-0.565,-0.443,0.122,,,,,,,,,
-0.579,-0.486,0.092,,,,,,,,,
-0.576,-0.514,0.061,,,,,,,,,
-0.561,-0.529,0.032,,,,,,,,,
-0.541,-0.529,0.012,,,,,,,,,
-0.521,-0.517,0.004,,,,,,,,,
-0.501,-0.499,0.0,,,,,,,,,
-0.483,-0.487,-0.004,,,,,,,,,
-0.466,-0.478,-0.012,,,,,,,,,
-0.449,-0.464,-0.014,,,,,,,,,
-0.431,-0.438,-0.006,,,,,,,,,
-0.418,-0.408,0.009,,,,,,,,,
-0.412,-0.382,0.03,,,,,,,,,
-0.405,-0.357,0.047,,,,,,,,,
-0.381,-0.326,0.054,,,,,,,,,
-0.336,-0.286,0.05,,,,,,,,,
-0.29,-0.243,0.046,,,,,,,,,
-0.266,-0.209,0.057,,,,,,,,,
-0.27,-0.185,0.084,,,,,,,,,
-0.278,-0.167,0.11,,,,,,,,,
-0.268,-0.147,0.121,,,,,,,,,
-0.241,-0.124,0.116,,,,,,,,,
-0.214,-0.105,0.108,,,,,,,,,
-0.2,-0.092,0.106,,,,,,,,,
-0.193,-0.082,0.109,,,,,,,,,
-0.183,-0.071,0.111,,,,,,,,,
-0.168,-0.058,0.11,,,,,,,,,
-0.158,-0.049,0.11,,,,,,,,,
-0.154,-0.045,0.11,,,,,,,,,
-0.155,-0.045,0.11,,,,,,,,,
-0.154,-0.044,0.109,,,,,,,,,
-0.152,-0.042,0.109,,,,,,,,,
-0.149,-0.04,0.109,,,,,,,,,
-0.147,-0.037,0.109,,,,,,,,,
-0.145,-0.036,0.109,,,,,,,,,
-0.144,-0.034,0.11,,,,,,,,,
-0.145,-0.034,0.11,,,,,,,,,
-0.145,-0.035,0.11,,,,,,,,,
-0.142,-0.034,0.108,,,,,,,,,
-0.137,-0.032,0.106,,,,,,,,,
-0.133,-0.029,0.105,,,,,,,,,
-0.131,-0.027,0.104,,,,,,,,,
-0.13,-0.025,0.105,,,,,,,,,
-0.129,-0.024,0.104,,,,,,,,,
-0.129,-0.024,0.104,,,,,,,,,
-0.13,-0.025,0.105,,,,,,,,,
-0.128,-0.023,0.105,,,,,,,,,
-0.125,-0.021,0.104,,,,,,,,,
-0.122,-0.018,0.104,,,,,,,,,
