I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.382,-0.312,0.07,,,,,,,,,
-0.582,-0.557,0.025,,,,,,,,,
-0.516,-0.476,0.04,,,,,,,,,
-0.552,-0.521,0.03,,,,,,,,,
-0.526,-0.487,0.038,,,,,,,,,
-0.567,-0.536,0.03,,,,,,,,,
-0.545,-0.5,0.044,,,,,,,,,
-0.564,-0.508,0.055,,,,,,,,,
-0.531,-0.476,0.055,,,,,,,,,
-0.538,-0.483,0.054,,,,,,,,,
-0.535,-0.479,0.055,,,,,,,,,
-0.552,-0.498,0.054,,,,,,,,,
-0.537,-0.482,0.055,,,,,,,,,
-0.536,-0.482,0.054,,,,,,,,,
-0.523,-0.467,0.055,,,,,,,,,
-0.522,-0.467,0.054,,,,,,,,,
-0.495,-0.44,0.055,,,,,,,,,
-0.488,-0.433,0.054,,,,,,,,,
-0.465,-0.41,0.054,,,,,,,,,
-0.456,-0.401,0.055,,,,,,,,,
-0.433,-0.379,0.054,,,,,,,,,
-0.427,-0.369,0.058,,,,,,,,,
-0.438,-0.349,0.088,,,,,,,,,
-0.427,-0.344,0.083,,,,,,,,,
-0.407,-0.327,0.08,,,,,,,,,
-0.397,-0.321,0.075,,,,,,,,,
-0.374,-0.301,0.073,,,,,,,,,
-0.391,-0.29,0.1,,,,,,,,,
-0.377,-0.269,0.108,,,,,,,,,
-0.376,-0.265,0.111,,,,,,,,,
-0.383,-0.275,0.107,,,,,,,,,
-0.364,-0.27,0.094,,,,,,,,,
-0.365,-0.257,0.108,,,,,,,,,
-0.376,-0.248,0.128,,,,,,,,,
-0.359,-0.239,0.121,,,,,,,,,
-0.378,-0.241,0.137,,,,,,,,,
-0.374,-0.238,0.135,,,,,,,,,
-0.373,-0.241,0.131,,,,,,,,,
-0.362,-0.234,0.127,,,,,,,,,
-0.338,-0.214,0.123,,,,,,,,,
-0.368,-0.249,0.119,,,,,,,,,
-0.386,-0.27,0.116,,,,,,,,,
-0.373,-0.261,0.112,,,,,,,,,
-0.375,-0.267,0.108,,,,,,,,,
-0.367,-0.263,0.104,,,,,,,,,
-0.365,-0.265,0.1,,,,,,,,,
-0.357,-0.257,0.099,,,,,,,,,
-0.362,-0.261,0.1,,,,,,,,,
-0.357,-0.258,0.099,,,,,,,,,
-0.362,-0.261,0.1,,,,,,,,,
-0.365,-0.266,0.099,,,,,,,,,
-0.366,-0.266,0.1,,,,,,,,,
-0.372,-0.277,0.095,,,,,,,,,
-0.367,-0.272,0.095,,,,,,,,,
-0.358,-0.264,0.094,,,,,,,,,
-0.356,-0.261,0.095,,,,,,,,,
-0.347,-0.252,0.094,,,,,,,,,
-0.347,-0.25,0.095,,,,,,,,,
-0.336,-0.242,0.093,,,,,,,,,
-0.361,-0.242,0.119,,,,,,,,,
-0.372,-0.238,0.134,,,,,,,,,
-0.364,-0.236,0.128,,,,,,,,,
-0.361,-0.233,0.127,,,,,,,,,
-0.357,-0.233,0.123,,,,,,,,,
-0.35,-0.228,0.122,,,,,,,,,
-0.347,-0.228,0.118,,,,,,,,,
-0.343,-0.223,0.12,,,,,,,,,
-0.327,-0.226,0.1,,,,,,,,,
-0.353,-0.211,0.142,,,,,,,,,
-0.356,-0.198,0.158,,,,,,,,,
-0.327,-0.179,0.148,,,,,,,,,
-0.316,-0.17,0.146,,,,,,,,,
-0.313,-0.175,0.138,,,,,,,,,
-0.308,-0.163,0.144,,,,,,,,,
-0.309,-0.151,0.158,,,,,,,,,
-0.323,-0.14,0.183,,,,,,,,,
-0.336,-0.13,0.205,,,,,,,,,
-0.328,-0.124,0.204,,,,,,,,,
-0.309,-0.114,0.195,,,,,,,,,
-0.296,-0.103,0.193,,,,,,,,,
-0.276,-0.091,0.185,,,,,,,,,
-0.262,-0.079,0.182,,,,,,,,,
-0.246,-0.071,0.175,,,,,,,,,
-0.269,-0.102,0.167,,,,,,,,,
-0.266,-0.126,0.139,,,,,,,,,
-0.262,-0.14,0.122,,,,,,,,,
-0.287,-0.188,0.099,,,,,,,,,
-0.302,-0.215,0.087,,,,,,,,,
-0.303,-0.235,0.068,,,,,,,,,
-0.306,-0.247,0.058,,,,,,,,,
-0.32,-0.258,0.062,,,,,,,,,
-0.329,-0.274,0.054,,,,,,,,,
-0.313,-0.268,0.045,,,,,,,,,
-0.311,-0.27,0.04,,,,,,,,,
-0.298,-0.269,0.028,,,,,,,,,
-0.277,-0.27,0.007,,,,,,,,,
-0.262,-0.27,-0.008,,,,,,,,,
-0.271,-0.267,0.003,,,,,,,,,
-0.274,-0.264,0.009,,,,,,,,,
-0.284,-0.265,0.019,,,,,,,,,
-0.287,-0.265,0.022,,,,,,,,,
-0.281,-0.264,0.016,,,,,,,,,
-0.277,-0.265,0.012,,,,,,,,,
-0.262,-0.256,0.005,,,,,,,,,
-0.301,-0.291,0.009,,,,,,,,,
-0.32,-0.285,0.034,,,,,,,,,
-0.305,-0.256,0.049,,,,,,,,,
-0.249,-0.175,0.073,,,,,,,,,
-0.142,-0.049,0.093,,,,,,,,,
-0.032,0.164,0.195,,,,,,,,,
0.161,0.473,0.312,,,,,,,,,
0.301,0.641,0.339,,,,,,,,,
0.362,0.484,0.121,,,,,,,,,
0.3,0.02,-0.28,,,,,,,,,
0.086,-0.307,-0.394,,,,,,,,,
-0.095,-0.452,-0.356,,,,,,,,,
-0.17,-0.459,-0.288,,,,,,,,,
-0.203,-0.466,-0.262,,,,,,,,,
-0.24,-0.454,-0.213,,,,,,,,,
-0.265,-0.409,-0.142,,,,,,,,,
-0.269,-0.353,-0.084,,,,,,,,,
-0.271,-0.341,-0.07,,,,,,,,,
-0.275,-0.322,-0.046,,,,,,,,,
-0.279,-0.308,-0.029,,,,,,,,,
-0.285,-0.295,-0.01,,,,,,,,,
-0.272,-0.305,-0.032,,,,,,,,,
-0.245,-0.273,-0.028,,,,,,,,,
-0.225,-0.25,-0.025,,,,,,,,,
-0.19,-0.213,-0.023,,,,,,,,,
-0.171,-0.192,-0.02,,,,,,,,,
-0.169,-0.187,-0.018,,,,,,,,,
-0.17,-0.185,-0.015,,,,,,,,,
-0.166,-0.179,-0.013,,,,,,,,,
-0.168,-0.177,-0.009,,,,,,,,,
-0.16,-0.171,-0.011,,,,,,,,,
-0.143,-0.169,-0.026,,,,,,,,,
-0.138,-0.164,-0.026,,,,,,,,,
-0.137,-0.161,-0.023,,,,,,,,,
-0.141,-0.161,-0.019,,,,,,,,,
-0.145,-0.166,-0.021,,,,,,,,,
-0.136,-0.163,-0.026,,,,,,,,,
-0.129,-0.166,-0.037,,,,,,,,,
-0.128,-0.163,-0.035,,,,,,,,,
-0.133,-0.166,-0.032,,,,,,,,,
-0.133,-0.163,-0.03,,,,,,,,,
-0.138,-0.166,-0.027,,,,,,,,,
-0.139,-0.163,-0.024,,,,,,,,,
-0.143,-0.166,-0.022,,,,,,,,,
-0.144,-0.163,-0.019,,,,,,,,,
-0.15,-0.167,-0.017,,,,,,,,,
-0.163,-0.177,-0.014,,,,,,,,,
-0.158,-0.17,-0.012,,,,,,,,,
-0.155,-0.164,-0.009,,,,,,,,,
-0.153,-0.16,-0.007,,,,,,,,,
-0.15,-0.153,-0.003,,,,,,,,,
-0.142,-0.15,-0.008,,,,,,,,,
-0.124,-0.143,-0.018,,,,,,,,,
-0.109,-0.141,-0.032,,,,,,,,,
-0.104,-0.135,-0.031,,,,,,,,,
-0.108,-0.133,-0.024,,,,,,,,,
-0.106,-0.128,-0.021,,,,,,,,,
-0.106,-0.123,-0.017,,,,,,,,,
-0.103,-0.113,-0.009,,,,,,,,,
-0.1,-0.107,-0.007,,,,,,,,,
-0.094,-0.097,-0.002,,,,,,,,,
-0.095,-0.094,0.0,,,,,,,,,
-0.094,-0.089,0.004,,,,,,,,,
-0.095,-0.087,0.008,,,,,,,,,
-0.094,-0.081,0.012,,,,,,,,,
-0.095,-0.079,0.015,,,,,,,,,
-0.094,-0.074,0.02,,,,,,,,,
-0.104,-0.08,0.023,,,,,,,,,
-0.107,-0.079,0.028,,,,,,,,,
-0.111,-0.08,0.03,,,,,,,,,
-0.108,-0.079,0.029,,,,,,,,,
-0.115,-0.08,0.034,,,,,,,,,
-0.116,-0.08,0.036,,,,,,,,,
-0.103,-0.077,0.025,,,,,,,,,
-0.094,-0.073,0.02,,,,,,,,,
-0.106,-0.096,0.01,,,,,,,,,
-0.102,-0.101,0.0,,,,,,,,,
-0.113,-0.128,-0.014,,,,,,,,,
-0.143,-0.156,-0.012,,,,,,,,,
-0.168,-0.156,0.011,,,,,,,,,
-0.13,-0.151,-0.02,,,,,,,,,
-0.123,-0.151,-0.027,,,,,,,,,
-0.121,-0.146,-0.023,,,,,,,,,
-0.124,-0.145,-0.021,,,,,,,,,
-0.122,-0.14,-0.019,,,,,,,,,
-0.124,-0.14,-0.016,,,,,,,,,
-0.122,-0.135,-0.013,,,,,,,,,
-0.124,-0.135,-0.01,,,,,,,,,
-0.122,-0.13,-0.008,,,,,,,,,
-0.124,-0.13,-0.005,,,,,,,,,
-0.121,-0.125,-0.003,,,,,,,,,
-0.125,-0.125,0.0,,,,,,,,,
-0.125,-0.123,0.001,,,,,,,,,
-0.122,-0.116,0.005,,,,,,,,,
-0.116,-0.112,0.003,,,,,,,,,
-0.122,-0.109,0.013,,,,,,,,,
-0.123,-0.102,0.021,,,,,,,,,
-0.125,-0.098,0.026,,,,,,,,,
-0.12,-0.094,0.026,,,,,,,,,
-0.099,-0.079,0.019,,,,,,,,,
-0.081,-0.061,0.019,,,,,,,,,
-0.088,-0.042,0.045,,,,,,,,,
-0.071,-0.026,0.046,,,,,,,,,
-0.06,-0.018,0.042,,,,,,,,,
-0.049,-0.009,0.04,,,,,,,,,
-0.037,-0.003,0.034,,,,,,,,,
-0.045,0.008,0.054,,,,,,,,,
-0.058,0.035,0.093,,,,,,,,,
-0.045,0.063,0.109,,,,,,,,,
-0.047,0.075,0.122,,,,,,,,,
-0.042,0.092,0.135,,,,,,,,,
-0.027,0.1,0.128,,,,,,,,,
-0.011,0.114,0.125,,,,,,,,,
-0.028,0.093,0.121,,,,,,,,,
-0.03,0.079,0.109,,,,,,,,,
-0.015,0.063,0.079,,,,,,,,,
-0.015,0.037,0.054,,,,,,,,,
-0.032,-0.001,0.031,,,,,,,,,
-0.035,-0.018,0.017,,,,,,,,,
-0.04,-0.04,0.0,,,,,,,,,
-0.044,-0.057,-0.012,,,,,,,,,
-0.057,-0.078,-0.02,,,,,,,,,
-0.045,-0.086,-0.04,,,,,,,,,
-0.034,-0.086,-0.052,,,,,,,,,
-0.016,-0.077,-0.061,,,,,,,,,
-0.029,-0.09,-0.06,,,,,,,,,
-0.065,-0.124,-0.059,,,,,,,,,
-0.064,-0.125,-0.06,,,,,,,,,
-0.063,-0.124,-0.061,,,,,,,,,
-0.037,-0.125,-0.087,,,,,,,,,
-0.034,-0.124,-0.09,,,,,,,,,
-0.035,-0.125,-0.089,,,,,,,,,
-0.034,-0.124,-0.089,,,,,,,,,
-0.035,-0.126,-0.09,,,,,,,,,
-0.033,-0.123,-0.089,,,,,,,,,
-0.041,-0.131,-0.089,,,,,,,,,
-0.064,-0.162,-0.098,,,,,,,,,
-0.07,-0.195,-0.124,,,,,,,,,
-0.059,-0.137,-0.077,,,,,,,,,
-0.018,-0.039,-0.021,,,,,,,,,
0.068,0.085,0.017,,,,,,,,,
0.196,0.314,0.118,,,,,,,,,
0.314,0.596,0.282,,,,,,,,,
0.417,0.762,0.345,,,,,,,,,
0.457,0.637,0.18,,,,,,,,,
0.433,0.217,-0.216,,,,,,,,,
0.222,-0.146,-0.368,,,,,,,,,
0.044,-0.314,-0.358,,,,,,,,,
-0.013,-0.355,-0.342,,,,,,,,,
-0.031,-0.355,-0.324,,,,,,,,,
-0.054,-0.346,-0.291,,,,,,,,,
-0.063,-0.326,-0.263,,,,,,,,,
-0.041,-0.272,-0.231,,,,,,,,,
-0.041,-0.229,-0.187,,,,,,,,,
-0.046,-0.196,-0.149,,,,,,,,,
-0.043,-0.185,-0.141,,,,,,,,,
-0.032,-0.165,-0.133,,,,,,,,,
-0.027,-0.154,-0.126,,,,,,,,,
-0.035,-0.153,-0.117,,,,,,,,,
-0.041,-0.157,-0.115,,,,,,,,,
-0.037,-0.152,-0.114,,,,,,,,,
-0.048,-0.159,-0.111,,,,,,,,,
-0.048,-0.157,-0.108,,,,,,,,,
-0.039,-0.15,-0.111,,,,,,,,,
-0.067,-0.173,-0.106,,,,,,,,,
-0.064,-0.17,-0.105,,,,,,,,,
-0.066,-0.17,-0.104,,,,,,,,,
-0.061,-0.167,-0.106,,,,,,,,,
-0.048,-0.164,-0.115,,,,,,,,,
-0.036,-0.165,-0.129,,,,,,,,,
-0.016,-0.16,-0.143,,,,,,,,,
-0.022,-0.16,-0.137,,,,,,,,,
-0.018,-0.159,-0.141,,,,,,,,,
-0.018,-0.157,-0.138,,,,,,,,,
-0.013,-0.154,-0.14,,,,,,,,,
-0.015,-0.154,-0.139,,,,,,,,,
-0.008,-0.149,-0.141,,,,,,,,,
-0.015,-0.15,-0.135,,,,,,,,,
-0.014,-0.149,-0.135,,,,,,,,,
-0.019,-0.154,-0.134,,,,,,,,,
-0.013,-0.148,-0.135,,,,,,,,,
-0.016,-0.151,-0.134,,,,,,,,,
-0.012,-0.148,-0.135,,,,,,,,,
-0.011,-0.145,-0.133,,,,,,,,,
-0.009,-0.144,-0.134,,,,,,,,,
-0.003,-0.145,-0.142,,,,,,,,,
-0.004,-0.139,-0.134,,,,,,,,,
0.0,-0.132,-0.132,,,,,,,,,
0.004,-0.123,-0.128,,,,,,,,,
0.005,-0.116,-0.121,,,,,,,,,
0.015,-0.102,-0.117,,,,,,,,,
0.02,-0.092,-0.113,,,,,,,,,
0.031,-0.078,-0.11,,,,,,,,,
0.033,-0.07,-0.104,,,,,,,,,
0.041,-0.069,-0.111,,,,,,,,,
0.052,-0.07,-0.123,,,,,,,,,
0.04,-0.069,-0.11,,,,,,,,,
0.033,-0.07,-0.104,,,,,,,,,
0.025,-0.069,-0.094,,,,,,,,,
0.017,-0.071,-0.088,,,,,,,,,
0.018,-0.06,-0.079,,,,,,,,,
0.02,-0.052,-0.072,,,,,,,,,
0.023,-0.039,-0.063,,,,,,,,,
0.028,-0.031,-0.06,,,,,,,,,
0.044,-0.023,-0.067,,,,,,,,,
0.045,-0.019,-0.064,,,,,,,,,
0.051,-0.013,-0.064,,,,,,,,,
0.056,-0.008,-0.065,,,,,,,,,
0.045,-0.019,-0.064,,,,,,,,,
0.021,-0.044,-0.065,,,,,,,,,
0.025,-0.038,-0.064,,,,,,,,,
0.007,-0.058,-0.065,,,,,,,,,
0.011,-0.051,-0.063,,,,,,,,,
-0.012,-0.083,-0.071,,,,,,,,,
