I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.017,-0.105,-0.087,,,,,,,,,
-0.001,-0.117,-0.116,,,,,,,,,
-0.007,-0.113,-0.105,,,,,,,,,
-0.003,-0.117,-0.113,,,,,,,,,
-0.011,-0.116,-0.105,,,,,,,,,
-0.004,-0.127,-0.122,,,,,,,,,
0.0,-0.158,-0.159,,,,,,,,,
0.008,-0.094,-0.103,,,,,,,,,
-0.034,-0.095,-0.061,,,,,,,,,
-0.018,-0.098,-0.079,,,,,,,,,
0.024,-0.1,-0.124,,,,,,,,,
0.019,-0.138,-0.158,,,,,,,,,
0.038,-0.079,-0.118,,,,,,,,,
0.04,-0.053,-0.095,,,,,,,,,
0.045,-0.054,-0.1,,,,,,,,,
0.054,-0.038,-0.093,,,,,,,,,
0.061,-0.092,-0.154,,,,,,,,,
0.059,-0.044,-0.103,,,,,,,,,
0.117,0.024,-0.092,,,,,,,,,
0.126,0.028,-0.097,,,,,,,,,
0.082,-0.021,-0.103,,,,,,,,,
0.045,-0.056,-0.101,,,,,,,,,
0.039,-0.01,-0.049,,,,,,,,,
0.032,0.044,0.012,,,,,,,,,
0.068,0.083,0.014,,,,,,,,,
0.054,0.043,-0.01,,,,,,,,,
0.047,-0.014,-0.061,,,,,,,,,
0.075,0.012,-0.063,,,,,,,,,
0.077,0.059,-0.017,,,,,,,,,
0.125,0.094,-0.03,,,,,,,,,
0.056,0.047,-0.009,,,,,,,,,
0.038,-0.013,-0.051,,,,,,,,,
0.059,0.006,-0.052,,,,,,,,,
0.048,0.043,-0.005,,,,,,,,,
0.083,0.073,-0.009,,,,,,,,,
0.038,0.046,0.008,,,,,,,,,
0.015,-0.032,-0.047,,,,,,,,,
0.015,-0.035,-0.051,,,,,,,,,
0.01,0.011,0.001,,,,,,,,,
0.02,0.043,0.022,,,,,,,,,
0.01,0.016,0.004,,,,,,,,,
0.011,-0.044,-0.055,,,,,,,,,
0.005,-0.068,-0.074,,,,,,,,,
0.005,-0.029,-0.035,,,,,,,,,
0.003,-0.031,-0.035,,,,,,,,,
0.006,-0.011,-0.017,,,,,,,,,
-0.011,-0.048,-0.037,,,,,,,,,
0.016,-0.067,-0.084,,,,,,,,,
0.024,-0.013,-0.038,,,,,,,,,
0.052,0.024,-0.029,,,,,,,,,
0.034,0.018,-0.015,,,,,,,,,
0.0,-0.035,-0.034,,,,,,,,,
-0.006,-0.079,-0.072,,,,,,,,,
-0.002,-0.038,-0.036,,,,,,,,,
0.0,-0.022,-0.023,,,,,,,,,
0.0,-0.001,-0.001,,,,,,,,,
0.0,-0.018,-0.019,,,,,,,,,
-0.004,-0.075,-0.07,,,,,,,,,
-0.002,-0.038,-0.036,,,,,,,,,
0.0,-0.023,-0.024,,,,,,,,,
0.0,-0.014,-0.014,,,,,,,,,
0.004,-0.021,-0.026,,,,,,,,,
0.004,-0.079,-0.084,,,,,,,,,
0.005,-0.058,-0.063,,,,,,,,,
0.0,-0.04,-0.04,,,,,,,,,
-0.007,-0.022,-0.014,,,,,,,,,
-0.015,-0.017,-0.001,,,,,,,,,
-0.022,-0.077,-0.053,,,,,,,,,
-0.024,-0.069,-0.044,,,,,,,,,
-0.017,-0.036,-0.019,,,,,,,,,
-0.025,-0.037,-0.012,,,,,,,,,
-0.018,-0.019,0.0,,,,,,,,,
-0.006,-0.076,-0.07,,,,,,,,,
-0.023,-0.096,-0.074,,,,,,,,,
-0.009,-0.055,-0.045,,,,,,,,,
-0.011,-0.047,-0.035,,,,,,,,,
-0.006,-0.021,-0.015,,,,,,,,,
0.007,-0.062,-0.069,,,,,,,,,
-0.011,-0.096,-0.084,,,,,,,,,
-0.019,-0.062,-0.043,,,,,,,,,
-0.02,-0.054,-0.033,,,,,,,,,
-0.017,-0.021,-0.002,,,,,,,,,
-0.006,-0.058,-0.051,,,,,,,,,
-0.032,-0.1,-0.068,,,,,,,,,
-0.029,-0.057,-0.028,,,,,,,,,
-0.027,-0.051,-0.023,,,,,,,,,
-0.024,-0.027,-0.002,,,,,,,,,
-0.005,-0.052,-0.046,,,,,,,,,
-0.011,-0.099,-0.088,,,,,,,,,
-0.005,-0.061,-0.055,,,,,,,,,
0.001,-0.046,-0.048,,,,,,,,,
-0.001,-0.023,-0.022,,,,,,,,,
0.0,-0.039,-0.04,,,,,,,,,
-0.005,-0.08,-0.074,,,,,,,,,
-0.003,-0.048,-0.045,,,,,,,,,
-0.001,-0.033,-0.032,,,,,,,,,
0.001,-0.01,-0.012,,,,,,,,,
-0.005,-0.025,-0.02,,,,,,,,,
-0.013,-0.074,-0.061,,,,,,,,,
-0.009,-0.021,-0.011,,,,,,,,,
-0.004,0.005,0.01,,,,,,,,,
0.003,0.036,0.034,,,,,,,,,
-0.004,0.037,0.042,,,,,,,,,
-0.02,0.016,0.036,,,,,,,,,
0.047,0.074,0.027,,,,,,,,,
0.033,0.074,0.04,,,,,,,,,
0.017,0.075,0.058,,,,,,,,,
0.025,0.076,0.05,,,,,,,,,
0.034,0.081,0.046,,,,,,,,,
0.035,0.078,0.043,,,,,,,,,
0.047,0.083,0.035,,,,,,,,,
0.058,0.092,0.033,,,,,,,,,
0.037,0.064,0.027,,,,,,,,,
0.039,0.058,0.018,,,,,,,,,
0.045,0.047,0.001,,,,,,,,,
0.032,0.043,0.01,,,,,,,,,
0.002,0.026,0.024,,,,,,,,,
-0.005,-0.008,-0.003,,,,,,,,,
-0.021,-0.072,-0.051,,,,,,,,,
-0.031,-0.094,-0.063,,,,,,,,,
-0.049,-0.08,-0.03,,,,,,,,,
-0.039,-0.076,-0.036,,,,,,,,,
0.024,-0.066,-0.091,,,,,,,,,
-0.022,-0.103,-0.08,,,,,,,,,
-0.031,-0.113,-0.081,,,,,,,,,
0.01,-0.062,-0.073,,,,,,,,,
0.024,-0.049,-0.074,,,,,,,,,
-0.025,-0.089,-0.064,,,,,,,,,
-0.034,-0.105,-0.071,,,,,,,,,
-0.047,-0.116,-0.068,,,,,,,,,
-0.04,-0.055,-0.015,,,,,,,,,
-0.037,-0.04,-0.003,,,,,,,,,
-0.037,-0.062,-0.024,,,,,,,,,
-0.009,0.004,0.014,,,,,,,,,
0.048,0.094,0.045,,,,,,,,,
0.094,0.131,0.037,,,,,,,,,
0.218,0.152,-0.066,,,,,,,,,
0.361,0.22,-0.141,,,,,,,,,
0.462,0.367,-0.094,,,,,,,,,
0.504,0.548,0.043,,,,,,,,,
0.462,0.534,0.073,,,,,,,,,
0.339,0.371,0.032,,,,,,,,,
0.201,0.078,-0.122,,,,,,,,,
0.008,-0.117,-0.126,,,,,,,,,
-0.068,-0.193,-0.124,,,,,,,,,
-0.079,-0.203,-0.124,,,,,,,,,
-0.054,-0.168,-0.114,,,,,,,,,
-0.125,-0.222,-0.097,,,,,,,,,
-0.151,-0.259,-0.108,,,,,,,,,
-0.123,-0.21,-0.087,,,,,,,,,
-0.118,-0.149,-0.031,,,,,,,,,
-0.125,-0.152,-0.026,,,,,,,,,
-0.086,-0.147,-0.061,,,,,,,,,
-0.037,-0.152,-0.114,,,,,,,,,
-0.038,-0.145,-0.107,,,,,,,,,
-0.025,-0.146,-0.119,,,,,,,,,
-0.032,-0.143,-0.111,,,,,,,,,
-0.027,-0.146,-0.118,,,,,,,,,
-0.034,-0.142,-0.108,,,,,,,,,
-0.04,-0.154,-0.113,,,,,,,,,
-0.032,-0.146,-0.113,,,,,,,,,
0.022,-0.093,-0.116,,,,,,,,,
0.022,-0.09,-0.113,,,,,,,,,
-0.024,-0.14,-0.115,,,,,,,,,
0.022,-0.093,-0.115,,,,,,,,,
0.04,-0.08,-0.121,,,,,,,,,
0.031,-0.089,-0.12,,,,,,,,,
0.043,-0.083,-0.126,,,,,,,,,
-0.019,-0.143,-0.124,,,,,,,,,
-0.02,-0.14,-0.12,,,,,,,,,
-0.017,-0.071,-0.054,,,,,,,,,
-0.02,-0.085,-0.065,,,,,,,,,
-0.025,-0.073,-0.048,,,,,,,,,
-0.031,-0.128,-0.096,,,,,,,,,
-0.069,-0.136,-0.066,,,,,,,,,
-0.095,-0.134,-0.038,,,,,,,,,
-0.087,-0.135,-0.047,,,,,,,,,
-0.102,-0.141,-0.038,,,,,,,,,
-0.067,-0.138,-0.07,,,,,,,,,
-0.041,-0.142,-0.101,,,,,,,,,
-0.004,-0.076,-0.072,,,,,,,,,
-0.003,-0.058,-0.054,,,,,,,,,
-0.002,-0.054,-0.052,,,,,,,,,
0.0,-0.064,-0.063,,,,,,,,,
0.002,-0.101,-0.104,,,,,,,,,
0.016,-0.082,-0.097,,,,,,,,,
0.018,-0.062,-0.08,,,,,,,,,
0.012,-0.048,-0.06,,,,,,,,,
0.01,-0.066,-0.077,,,,,,,,,
0.008,-0.129,-0.137,,,,,,,,,
0.019,-0.061,-0.081,,,,,,,,,
0.026,-0.033,-0.06,,,,,,,,,
0.018,-0.025,-0.043,,,,,,,,,
0.015,-0.031,-0.046,,,,,,,,,
-0.011,-0.097,-0.085,,,,,,,,,
0.037,-0.04,-0.078,,,,,,,,,
0.053,0.005,-0.049,,,,,,,,,
0.045,0.0,-0.045,,,,,,,,,
0.047,0.006,-0.04,,,,,,,,,
0.02,-0.061,-0.081,,,,,,,,,
0.067,-0.014,-0.082,,,,,,,,,
0.068,0.038,-0.029,,,,,,,,,
0.096,0.068,-0.028,,,,,,,,,
0.061,0.045,-0.015,,,,,,,,,
0.033,0.04,0.006,,,,,,,,,
0.074,0.028,-0.045,,,,,,,,,
0.088,0.047,-0.04,,,,,,,,,
0.095,0.109,0.014,,,,,,,,,
0.031,0.076,0.044,,,,,,,,,
0.03,0.058,0.028,,,,,,,,,
0.067,0.053,-0.014,,,,,,,,,
0.11,0.078,-0.032,,,,,,,,,
0.091,0.136,0.045,,,,,,,,,
0.061,0.106,0.045,,,,,,,,,
0.062,0.061,0.0,,,,,,,,,
0.057,0.049,-0.008,,,,,,,,,
0.102,0.044,-0.058,,,,,,,,,
0.067,0.111,0.043,,,,,,,,,
0.037,0.091,0.053,,,,,,,,,
0.033,0.034,0.0,,,,,,,,,
0.012,0.019,0.007,,,,,,,,,
0.056,0.009,-0.045,,,,,,,,,
0.034,0.059,0.026,,,,,,,,,
-0.007,0.058,0.065,,,,,,,,,
0.002,0.021,0.019,,,,,,,,,
0.001,0.029,0.027,,,,,,,,,
0.008,0.015,0.007,,,,,,,,,
0.008,-0.004,-0.013,,,,,,,,,
0.011,0.038,0.027,,,,,,,,,
0.008,0.054,0.046,,,,,,,,,
0.007,0.011,0.004,,,,,,,,,
0.015,-0.05,-0.065,,,,,,,,,
0.018,-0.02,-0.039,,,,,,,,,
0.042,0.034,-0.008,,,,,,,,,
0.057,0.064,0.006,,,,,,,,,
0.027,0.038,0.011,,,,,,,,,
0.087,0.032,-0.055,,,,,,,,,
0.028,0.003,-0.024,,,,,,,,,
0.025,0.063,0.037,,,,,,,,,
-0.044,0.031,0.076,,,,,,,,,
-0.016,0.018,0.035,,,,,,,,,
0.006,0.022,0.015,,,,,,,,,
0.008,-0.01,-0.018,,,,,,,,,
0.013,0.016,0.002,,,,,,,,,
-0.001,0.049,0.05,,,,,,,,,
-0.001,0.019,0.02,,,,,,,,,
0.0,-0.049,-0.049,,,,,,,,,
0.012,-0.06,-0.072,,,,,,,,,
0.009,0.0,-0.009,,,,,,,,,
-0.005,0.045,0.051,,,,,,,,,
-0.019,0.031,0.049,,,,,,,,,
-0.014,-0.049,-0.034,,,,,,,,,
-0.005,-0.079,-0.074,,,,,,,,,
0.002,-0.03,-0.032,,,,,,,,,
-0.014,-0.03,-0.016,,,,,,,,,
-0.024,-0.005,0.019,,,,,,,,,
-0.026,-0.066,-0.039,,,,,,,,,
-0.009,-0.108,-0.098,,,,,,,,,
-0.008,-0.059,-0.049,,,,,,,,,
-0.007,-0.044,-0.036,,,,,,,,,
-0.014,-0.009,0.004,,,,,,,,,
-0.006,-0.053,-0.047,,,,,,,,,
0.0,-0.115,-0.115,,,,,,,,,
0.013,-0.056,-0.07,,,,,,,,,
-0.043,-0.046,-0.002,,,,,,,,,
-0.04,-0.008,0.03,,,,,,,,,
-0.042,-0.067,-0.024,,,,,,,,,
0.014,-0.078,-0.093,,,,,,,,,
0.049,0.012,-0.036,,,,,,,,,
0.041,0.034,-0.006,,,,,,,,,
-0.017,0.004,0.021,,,,,,,,,
-0.04,-0.014,0.025,,,,,,,,,
-0.073,-0.076,-0.003,,,,,,,,,
-0.017,-0.058,-0.04,,,,,,,,,
0.004,0.017,0.013,,,,,,,,,
0.0,0.063,0.063,,,,,,,,,
0.023,0.048,0.024,,,,,,,,,
0.095,0.041,-0.054,,,,,,,,,
0.045,0.013,-0.031,,,,,,,,,
0.05,0.104,0.054,,,,,,,,,
-0.006,0.102,0.108,,,,,,,,,
-0.011,0.06,0.072,,,,,,,,,
0.011,0.068,0.057,,,,,,,,,
0.018,0.032,0.013,,,,,,,,,
0.029,0.123,0.094,,,,,,,,,
0.032,0.132,0.1,,,,,,,,,
0.003,0.078,0.074,,,,,,,,,
0.078,0.076,-0.002,,,,,,,,,
0.081,0.036,-0.044,,,,,,,,,
0.021,0.094,0.072,,,,,,,,,
0.037,0.112,0.075,,,,,,,,,
0.021,0.002,-0.018,,,,,,,,,
0.026,-0.065,-0.091,,,,,,,,,
0.005,-0.032,-0.038,,,,,,,,,
0.076,0.033,-0.042,,,,,,,,,
0.039,0.024,-0.015,,,,,,,,,
-0.054,-0.044,0.009,,,,,,,,,
-0.07,-0.119,-0.048,,,,,,,,,
0.016,-0.091,-0.108,,,,,,,,,
-0.032,-0.065,-0.032,,,,,,,,,
-0.046,-0.029,0.016,,,,,,,,,
-0.081,-0.035,0.046,,,,,,,,,
-0.08,-0.129,-0.048,,,,,,,,,
0.008,-0.108,-0.117,,,,,,,,,
0.011,-0.072,-0.083,,,,,,,,,
-0.058,-0.053,0.004,,,,,,,,,
-0.032,-0.013,0.019,,,,,,,,,
-0.062,-0.097,-0.035,,,,,,,,,
