I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.07,-0.1,-0.029,,,,,,,,,
-0.117,-0.126,-0.009,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.043,-0.085,-0.041,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.087,-0.11,-0.022,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.056,-0.092,-0.035,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.081,-0.106,-0.025,,,,,,,,,
-0.07,-0.1,-0.029,,,,,,,,,
-0.059,-0.093,-0.033,,,,,,,,,
-0.066,-0.096,-0.03,,,,,,,,,
-0.072,-0.099,-0.026,,,,,,,,,
-0.065,-0.095,-0.03,,,,,,,,,
-0.058,-0.091,-0.032,,,,,,,,,
-0.064,-0.095,-0.029,,,,,,,,,
-0.07,-0.098,-0.027,,,,,,,,,
-0.065,-0.094,-0.03,,,,,,,,,
-0.059,-0.092,-0.032,,,,,,,,,
-0.064,-0.095,-0.029,,,,,,,,,
-0.068,-0.095,-0.027,,,,,,,,,
-0.061,-0.091,-0.029,,,,,,,,,
-0.054,-0.087,-0.031,,,,,,,,,
-0.059,-0.09,-0.03,,,,,,,,,
-0.063,-0.092,-0.028,,,,,,,,,
-0.06,-0.09,-0.029,,,,,,,,,
-0.055,-0.087,-0.031,,,,,,,,,
-0.059,-0.09,-0.031,,,,,,,,,
-0.06,-0.092,-0.031,,,,,,,,,
-0.055,-0.09,-0.035,,,,,,,,,
-0.049,-0.086,-0.036,,,,,,,,,
-0.05,-0.086,-0.035,,,,,,,,,
-0.053,-0.086,-0.033,,,,,,,,,
-0.05,-0.084,-0.034,,,,,,,,,
-0.047,-0.083,-0.036,,,,,,,,,
-0.051,-0.085,-0.035,,,,,,,,,
-0.053,-0.087,-0.033,,,,,,,,,
-0.049,-0.084,-0.034,,,,,,,,,
-0.043,-0.08,-0.036,,,,,,,,,
-0.045,-0.08,-0.034,,,,,,,,,
-0.047,-0.081,-0.033,,,,,,,,,
-0.045,-0.08,-0.034,,,,,,,,,
-0.042,-0.078,-0.036,,,,,,,,,
-0.044,-0.079,-0.035,,,,,,,,,
-0.047,-0.081,-0.033,,,,,,,,,
-0.045,-0.079,-0.035,,,,,,,,,
-0.042,-0.078,-0.036,,,,,,,,,
-0.043,-0.079,-0.035,,,,,,,,,
-0.044,-0.078,-0.033,,,,,,,,,
-0.04,-0.075,-0.035,,,,,,,,,
-0.037,-0.073,-0.036,,,,,,,,,
-0.04,-0.074,-0.034,,,,,,,,,
-0.042,-0.076,-0.033,,,,,,,,,
-0.04,-0.074,-0.033,,,,,,,,,
-0.037,-0.073,-0.035,,,,,,,,,
-0.039,-0.076,-0.037,,,,,,,,,
-0.039,-0.077,-0.038,,,,,,,,,
-0.033,-0.072,-0.04,,,,,,,,,
-0.026,-0.067,-0.04,,,,,,,,,
-0.029,-0.07,-0.04,,,,,,,,,
-0.041,-0.08,-0.039,,,,,,,,,
-0.051,-0.091,-0.039,,,,,,,,,
-0.054,-0.095,-0.04,,,,,,,,,
-0.054,-0.094,-0.039,,,,,,,,,
-0.051,-0.091,-0.039,,,,,,,,,
-0.049,-0.089,-0.039,,,,,,,,,
-0.047,-0.088,-0.04,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.048,-0.087,-0.039,,,,,,,,,
-0.045,-0.084,-0.039,,,,,,,,,
-0.042,-0.083,-0.04,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.047,-0.086,-0.039,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.043,-0.084,-0.04,,,,,,,,,
-0.042,-0.083,-0.04,,,,,,,,,
-0.042,-0.081,-0.039,,,,,,,,,
-0.04,-0.079,-0.04,,,,,,,,,
-0.038,-0.079,-0.04,,,,,,,,,
-0.04,-0.08,-0.039,,,,,,,,,
-0.039,-0.079,-0.039,,,,,,,,,
-0.035,-0.076,-0.039,,,,,,,,,
-0.032,-0.073,-0.04,,,,,,,,,
-0.034,-0.074,-0.04,,,,,,,,,
-0.036,-0.075,-0.039,,,,,,,,,
-0.036,-0.076,-0.04,,,,,,,,,
-0.034,-0.075,-0.04,,,,,,,,,
-0.033,-0.073,-0.04,,,,,,,,,
-0.032,-0.072,-0.039,,,,,,,,,
-0.03,-0.069,-0.039,,,,,,,,,
-0.028,-0.069,-0.04,,,,,,,,,
-0.03,-0.07,-0.039,,,,,,,,,
-0.03,-0.069,-0.039,,,,,,,,,
-0.026,-0.067,-0.039,,,,,,,,,
-0.023,-0.064,-0.04,,,,,,,,,
-0.023,-0.064,-0.04,,,,,,,,,
-0.025,-0.064,-0.039,,,,,,,,,
-0.025,-0.065,-0.04,,,,,,,,,
-0.024,-0.064,-0.04,,,,,,,,,
-0.025,-0.064,-0.04,,,,,,,,,
-0.024,-0.063,-0.039,,,,,,,,,
-0.021,-0.061,-0.039,,,,,,,,,
-0.018,-0.058,-0.04,,,,,,,,,
-0.018,-0.059,-0.04,,,,,,,,,
-0.021,-0.06,-0.039,,,,,,,,,
-0.021,-0.061,-0.04,,,,,,,,,
-0.019,-0.06,-0.04,,,,,,,,,
-0.018,-0.058,-0.04,,,,,,,,,
-0.017,-0.057,-0.039,,,,,,,,,
-0.015,-0.055,-0.04,,,,,,,,,
-0.013,-0.054,-0.04,,,,,,,,,
-0.015,-0.055,-0.04,,,,,,,,,
-0.014,-0.054,-0.04,,,,,,,,,
-0.01,-0.052,-0.041,,,,,,,,,
-0.009,-0.049,-0.039,,,,,,,,,
-0.012,-0.05,-0.035,,,,,,,,,
-0.016,-0.05,-0.033,,,,,,,,,
-0.012,-0.049,-0.037,,,,,,,,,
0.0,-0.046,-0.046,,,,,,,,,
0.009,-0.045,-0.054,,,,,,,,,
0.014,-0.045,-0.058,,,,,,,,,
0.014,-0.045,-0.059,,,,,,,,,
0.016,-0.043,-0.06,,,,,,,,,
0.017,-0.042,-0.06,,,,,,,,,
0.019,-0.04,-0.059,,,,,,,,,
0.019,-0.04,-0.059,,,,,,,,,
0.02,-0.039,-0.06,,,,,,,,,
0.021,-0.038,-0.059,,,,,,,,,
0.023,-0.036,-0.059,,,,,,,,,
0.025,-0.035,-0.059,,,,,,,,,
0.024,-0.035,-0.06,,,,,,,,,
0.023,-0.036,-0.059,,,,,,,,,
0.025,-0.034,-0.059,,,,,,,,,
0.03,-0.029,-0.059,,,,,,,,,
0.035,-0.024,-0.06,,,,,,,,,
0.037,-0.021,-0.06,,,,,,,,,
0.038,-0.02,-0.059,,,,,,,,,
0.041,-0.019,-0.059,,,,,,,,,
0.043,-0.016,-0.06,,,,,,,,,
0.045,-0.015,-0.06,,,,,,,,,
0.046,-0.013,-0.059,,,,,,,,,
0.049,-0.011,-0.06,,,,,,,,,
0.051,-0.008,-0.06,,,,,,,,,
0.052,-0.007,-0.06,,,,,,,,,
0.054,-0.005,-0.059,,,,,,,,,
0.057,-0.002,-0.06,,,,,,,,,
0.059,0.0,-0.06,,,,,,,,,
0.062,0.002,-0.06,,,,,,,,,
0.065,0.005,-0.059,,,,,,,,,
0.07,0.01,-0.059,,,,,,,,,
0.073,0.012,-0.06,,,,,,,,,
0.074,0.014,-0.06,,,,,,,,,
0.075,0.015,-0.059,,,,,,,,,
0.078,0.017,-0.059,,,,,,,,,
0.08,0.02,-0.06,,,,,,,,,
0.082,0.021,-0.06,,,,,,,,,
0.083,0.023,-0.059,,,,,,,,,
0.086,0.026,-0.06,,,,,,,,,
0.088,0.028,-0.06,,,,,,,,,
0.09,0.029,-0.059,,,,,,,,,
0.091,0.031,-0.059,,,,,,,,,
0.094,0.034,-0.059,,,,,,,,,
0.095,0.035,-0.06,,,,,,,,,
0.096,0.036,-0.06,,,,,,,,,
0.099,0.039,-0.059,,,,,,,,,
0.108,0.048,-0.06,,,,,,,,,
0.117,0.057,-0.06,,,,,,,,,
0.122,0.062,-0.059,,,,,,,,,
0.124,0.064,-0.059,,,,,,,,,
0.125,0.065,-0.059,,,,,,,,,
0.124,0.065,-0.06,,,,,,,,,
0.124,0.065,-0.06,,,,,,,,,
0.125,0.065,-0.059,,,,,,,,,
0.129,0.067,-0.06,,,,,,,,,
0.13,0.07,-0.059,,,,,,,,,
0.128,0.07,-0.057,,,,,,,,,
0.124,0.069,-0.055,,,,,,,,,
0.125,0.071,-0.054,,,,,,,,,
0.126,0.074,-0.052,,,,,,,,,
0.125,0.075,-0.049,,,,,,,,,
0.12,0.073,-0.047,,,,,,,,,
0.119,0.072,-0.045,,,,,,,,,
0.124,0.078,-0.045,,,,,,,,,
0.133,0.087,-0.045,,,,,,,,,
0.139,0.094,-0.044,,,,,,,,,
0.139,0.095,-0.044,,,,,,,,,
0.133,0.091,-0.042,,,,,,,,,
0.128,0.089,-0.039,,,,,,,,,
0.125,0.089,-0.036,,,,,,,,,
0.125,0.089,-0.035,,,,,,,,,
0.123,0.088,-0.034,,,,,,,,,
0.121,0.086,-0.035,,,,,,,,,
0.118,0.083,-0.034,,,,,,,,,
0.117,0.084,-0.032,,,,,,,,,
0.115,0.085,-0.03,,,,,,,,,
0.113,0.086,-0.027,,,,,,,,,
0.11,0.085,-0.024,,,,,,,,,
0.109,0.084,-0.025,,,,,,,,,
0.107,0.081,-0.025,,,,,,,,,
0.105,0.08,-0.024,,,,,,,,,
0.102,0.079,-0.023,,,,,,,,,
0.101,0.08,-0.021,,,,,,,,,
0.098,0.079,-0.019,,,,,,,,,
0.094,0.077,-0.017,,,,,,,,,
0.089,0.074,-0.014,,,,,,,,,
0.087,0.073,-0.013,,,,,,,,,
0.085,0.074,-0.011,,,,,,,,,
0.083,0.075,-0.009,,,,,,,,,
0.081,0.075,-0.006,,,,,,,,,
0.08,0.075,-0.005,,,,,,,,,
0.076,0.073,-0.003,,,,,,,,,
0.072,0.071,0.0,,,,,,,,,
