I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.01,0.034,0.024,,,,,,,,,
0.012,0.035,0.022,,,,,,,,,
0.009,0.034,0.024,,,,,,,,,
0.008,0.034,0.026,,,,,,,,,
0.009,0.034,0.025,,,,,,,,,
0.011,0.035,0.024,,,,,,,,,
0.009,0.034,0.024,,,,,,,,,
0.009,0.034,0.025,,,,,,,,,
0.009,0.034,0.025,,,,,,,,,
0.01,0.034,0.024,,,,,,,,,
0.009,0.034,0.024,,,,,,,,,
0.01,0.036,0.025,,,,,,,,,
0.013,0.038,0.024,,,,,,,,,
0.017,0.04,0.023,,,,,,,,,
0.018,0.04,0.021,,,,,,,,,
0.019,0.039,0.02,,,,,,,,,
0.019,0.038,0.018,,,,,,,,,
0.02,0.039,0.018,,,,,,,,,
0.02,0.04,0.019,,,,,,,,,
0.022,0.043,0.02,,,,,,,,,
0.025,0.044,0.019,,,,,,,,,
0.026,0.045,0.019,,,,,,,,,
0.024,0.044,0.019,,,,,,,,,
0.023,0.043,0.02,,,,,,,,,
0.024,0.043,0.02,,,,,,,,,
0.025,0.045,0.019,,,,,,,,,
0.027,0.049,0.019,,,,,,,,,
0.031,0.052,0.02,,,,,,,,,
0.037,0.056,0.019,,,,,,,,,
0.041,0.058,0.016,,,,,,,,,
0.044,0.06,0.014,,,,,,,,,
0.047,0.061,0.014,,,,,,,,,
0.05,0.063,0.015,,,,,,,,,
0.05,0.065,0.014,,,,,,,,,
0.05,0.065,0.014,,,,,,,,,
0.049,0.065,0.015,,,,,,,,,
0.052,0.067,0.015,,,,,,,,,
0.054,0.069,0.014,,,,,,,,,
0.055,0.07,0.014,,,,,,,,,
0.053,0.069,0.015,,,,,,,,,
0.055,0.069,0.014,,,,,,,,,
0.058,0.071,0.012,,,,,,,,,
0.063,0.074,0.011,,,,,,,,,
0.064,0.075,0.01,,,,,,,,,
0.065,0.075,0.01,,,,,,,,,
0.065,0.075,0.009,,,,,,,,,
0.067,0.076,0.009,,,,,,,,,
0.068,0.079,0.01,,,,,,,,,
0.07,0.079,0.009,,,,,,,,,
0.069,0.079,0.009,,,,,,,,,
0.069,0.08,0.01,,,,,,,,,
0.071,0.081,0.01,,,,,,,,,
0.074,0.084,0.01,,,,,,,,,
0.074,0.085,0.01,,,,,,,,,
0.073,0.085,0.011,,,,,,,,,
0.074,0.085,0.01,,,,,,,,,
0.079,0.087,0.008,,,,,,,,,
0.083,0.089,0.005,,,,,,,,,
0.086,0.091,0.005,,,,,,,,,
0.085,0.09,0.005,,,,,,,,,
0.085,0.09,0.004,,,,,,,,,
0.086,0.089,0.002,,,,,,,,,
0.089,0.089,0.001,,,,,,,,,
0.091,0.091,0.0,,,,,,,,,
0.092,0.092,0.0,,,,,,,,,
0.094,0.094,0.0,,,,,,,,,
0.097,0.096,-0.001,,,,,,,,,
0.098,0.096,-0.004,,,,,,,,,
0.099,0.095,-0.006,,,,,,,,,
0.1,0.094,-0.006,,,,,,,,,
0.1,0.094,-0.005,,,,,,,,,
0.099,0.098,-0.001,,,,,,,,,
0.099,0.102,0.003,,,,,,,,,
0.099,0.106,0.007,,,,,,,,,
0.097,0.107,0.01,,,,,,,,,
0.094,0.109,0.015,,,,,,,,,
0.092,0.111,0.018,,,,,,,,,
0.091,0.114,0.022,,,,,,,,,
0.087,0.115,0.026,,,,,,,,,
0.083,0.115,0.031,,,,,,,,,
0.079,0.115,0.034,,,,,,,,,
0.076,0.115,0.039,,,,,,,,,
0.072,0.115,0.042,,,,,,,,,
0.068,0.114,0.046,,,,,,,,,
0.065,0.114,0.049,,,,,,,,,
0.059,0.115,0.055,,,,,,,,,
0.052,0.114,0.063,,,,,,,,,
0.043,0.114,0.071,,,,,,,,,
0.038,0.114,0.076,,,,,,,,,
0.036,0.115,0.079,,,,,,,,,
0.034,0.114,0.079,,,,,,,,,
0.033,0.113,0.079,,,,,,,,,
0.031,0.111,0.079,,,,,,,,,
0.029,0.109,0.08,,,,,,,,,
0.029,0.109,0.08,,,,,,,,,
0.029,0.109,0.08,,,,,,,,,
0.029,0.107,0.078,,,,,,,,,
0.028,0.105,0.078,,,,,,,,,
0.021,0.103,0.084,,,,,,,,,
0.009,0.104,0.094,,,,,,,,,
0.0,0.104,0.104,,,,,,,,,
-0.004,0.105,0.109,,,,,,,,,
-0.005,0.105,0.109,,,,,,,,,
-0.005,0.103,0.108,,,,,,,,,
-0.006,0.102,0.109,,,,,,,,,
-0.01,0.1,0.11,,,,,,,,,
-0.013,0.099,0.111,,,,,,,,,
-0.014,0.099,0.113,,,,,,,,,
