I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.09,0.129,0.039,,,,,,,,,
0.086,0.13,0.044,,,,,,,,,
0.095,0.129,0.034,,,,,,,,,
0.082,0.129,0.047,,,,,,,,,
0.098,0.13,0.033,,,,,,,,,
0.092,0.129,0.037,,,,,,,,,
-0.001,0.124,0.125,,,,,,,,,
-0.047,0.117,0.165,,,,,,,,,
0.006,0.099,0.092,,,,,,,,,
0.009,0.101,0.091,,,,,,,,,
0.021,0.254,0.233,,,,,,,,,
0.005,0.257,0.25,,,,,,,,,
0.015,0.173,0.157,,,,,,,,,
-0.005,0.145,0.15,,,,,,,,,
0.015,0.186,0.171,,,,,,,,,
0.134,0.173,0.039,,,,,,,,,
0.172,0.166,-0.006,,,,,,,,,
0.065,0.155,0.089,,,,,,,,,
0.043,0.151,0.108,,,,,,,,,
0.058,0.121,0.063,,,,,,,,,
0.11,0.262,0.152,,,,,,,,,
0.101,0.312,0.21,,,,,,,,,
0.097,0.224,0.127,,,,,,,,,
0.069,0.17,0.1,,,,,,,,,
0.064,0.239,0.174,,,,,,,,,
0.045,0.13,0.085,,,,,,,,,
0.067,0.082,0.013,,,,,,,,,
0.082,0.183,0.101,,,,,,,,,
0.103,0.159,0.056,,,,,,,,,
0.103,0.098,-0.004,,,,,,,,,
0.132,0.183,0.051,,,,,,,,,
0.136,0.27,0.134,,,,,,,,,
0.122,0.206,0.083,,,,,,,,,
0.098,0.143,0.044,,,,,,,,,
0.109,0.211,0.102,,,,,,,,,
0.103,0.159,0.056,,,,,,,,,
0.119,0.026,-0.092,,,,,,,,,
0.172,0.118,-0.053,,,,,,,,,
0.136,0.129,-0.005,,,,,,,,,
0.114,0.07,-0.043,,,,,,,,,
0.131,0.114,-0.017,,,,,,,,,
0.114,0.231,0.117,,,,,,,,,
0.101,0.184,0.082,,,,,,,,,
0.067,0.099,0.032,,,,,,,,,
0.118,0.11,-0.007,,,,,,,,,
0.176,0.101,-0.074,,,,,,,,,
0.09,-0.038,-0.129,,,,,,,,,
0.079,-0.016,-0.095,,,,,,,,,
0.101,0.072,-0.027,,,,,,,,,
0.094,0.067,-0.027,,,,,,,,,
0.079,0.045,-0.033,,,,,,,,,
0.079,0.173,0.094,,,,,,,,,
0.075,0.163,0.087,,,,,,,,,
0.062,0.058,-0.004,,,,,,,,,
0.062,0.038,-0.024,,,,,,,,,
0.079,0.061,-0.017,,,,,,,,,
0.068,-0.075,-0.144,,,,,,,,,
0.068,-0.099,-0.168,,,,,,,,,
0.088,0.007,-0.08,,,,,,,,,
0.093,0.032,-0.06,,,,,,,,,
0.072,-0.024,-0.097,,,,,,,,,
0.072,0.108,0.036,,,,,,,,,
0.072,0.172,0.1,,,,,,,,,
0.054,0.071,0.016,,,,,,,,,
0.044,0.036,-0.008,,,,,,,,,
0.055,0.076,0.022,,,,,,,,,
0.044,-0.023,-0.067,,,,,,,,,
0.033,-0.105,-0.139,,,,,,,,,
0.041,-0.03,-0.071,,,,,,,,,
0.045,0.006,-0.038,,,,,,,,,
0.041,-0.051,-0.092,,,,,,,,,
0.04,0.024,-0.015,,,,,,,,,
0.037,0.131,0.093,,,,,,,,,
0.024,0.049,0.025,,,,,,,,,
0.013,-0.008,-0.022,,,,,,,,,
0.031,0.054,0.022,,,,,,,,,
0.038,0.009,-0.028,,,,,,,,,
0.03,-0.12,-0.151,,,,,,,,,
0.048,-0.047,-0.096,,,,,,,,,
0.061,0.025,-0.036,,,,,,,,,
0.069,-0.014,-0.084,,,,,,,,,
0.066,0.001,-0.065,,,,,,,,,
0.054,0.119,0.065,,,,,,,,,
0.046,0.065,0.019,,,,,,,,,
0.035,-0.023,-0.058,,,,,,,,,
0.024,0.017,-0.007,,,,,,,,,
0.02,0.034,0.014,,,,,,,,,
0.024,-0.111,-0.136,,,,,,,,,
0.035,-0.084,-0.119,,,,,,,,,
0.05,0.007,-0.041,,,,,,,,,
0.041,-0.023,-0.065,,,,,,,,,
0.031,-0.052,-0.084,,,,,,,,,
0.066,0.12,0.053,,,,,,,,,
0.063,0.121,0.058,,,,,,,,,
0.034,0.014,-0.02,,,,,,,,,
0.024,0.018,-0.006,,,,,,,,,
0.024,0.051,0.027,,,,,,,,,
0.011,-0.095,-0.107,,,,,,,,,
0.019,-0.122,-0.14,,,,,,,,,
0.047,-0.014,-0.061,,,,,,,,,
0.059,-0.001,-0.06,,,,,,,,,
0.047,-0.05,-0.097,,,,,,,,,
0.036,0.069,0.032,,,,,,,,,
0.033,0.123,0.089,,,,,,,,,
0.036,0.028,-0.007,,,,,,,,,
0.033,0.01,-0.023,,,,,,,,,
0.015,0.063,0.047,,,,,,,,,
0.033,-0.043,-0.076,,,,,,,,,
0.056,-0.123,-0.18,,,,,,,,,
0.054,-0.027,-0.081,,,,,,,,,
0.055,0.008,-0.047,,,,,,,,,
0.051,-0.044,-0.096,,,,,,,,,
0.047,0.034,-0.013,,,,,,,,,
0.043,0.138,0.095,,,,,,,,,
0.033,0.053,0.019,,,,,,,,,
0.019,0.005,-0.015,,,,,,,,,
0.028,0.052,0.023,,,,,,,,,
0.037,-0.007,-0.044,,,,,,,,,
0.034,-0.132,-0.167,,,,,,,,,
0.029,-0.061,-0.09,,,,,,,,,
0.022,-0.008,-0.031,,,,,,,,,
0.017,-0.026,-0.043,,,,,,,,,
0.023,-0.04,-0.064,,,,,,,,,
0.029,0.011,-0.017,,,,,,,,,
0.031,0.046,0.015,,,,,,,,,
0.073,0.054,-0.019,,,,,,,,,
